"year","county_id","county_name","income_group","mean_hh_income","absolute_change","change_rate","change_rate_gap_from_5th_quintile"
2014,"42017",Bucks,"1st Quintile",25123,-1637,-0.061,0.083
2013,"42017",Bucks,Top 5 Percent,557446,29300,0.055,-0.050
2013,"42017",Bucks,All,96684,-10294,-0.096,0.101
2013,"42017",Bucks,"5th Quintile",317692,1726,0.005,0.000
2013,"42017",Bucks,"4th Quintile",147746,-11244,-0.071,0.076
2013,"42017",Bucks,"3rd Quintile",97124,-10901,-0.101,0.106
2013,"42017",Bucks,"2nd Quintile",59237,-8132,-0.121,0.126
2013,"42017",Bucks,"1st Quintile",25115,-1645,-0.061,0.066
2012,"42017",Bucks,Top 5 Percent,497493,-30653,-0.058,0.007
2012,"42017",Bucks,All,100650,-6328,-0.059,0.008
2023,"42017",Bucks,Top 5 Percent,575286,47140,0.089,-0.026
2023,"42017",Bucks,All,107221,243,0.002,0.061
2023,"42017",Bucks,"5th Quintile",335836,19870,0.063,0.000
2023,"42017",Bucks,"4th Quintile",163356,4366,0.027,0.036
2023,"42017",Bucks,"3rd Quintile",108401,376,0.003,0.060
2023,"42017",Bucks,"2nd Quintile",67279,-90,-0.001,0.064
2023,"42017",Bucks,"1st Quintile",26286,-474,-0.018,0.081
2022,"42017",Bucks,Top 5 Percent,611328,83182,0.157,-0.023
2022,"42017",Bucks,All,109746,2768,0.026,0.108
2022,"42017",Bucks,"5th Quintile",358154,42188,0.134,0.000
2022,"42017",Bucks,"4th Quintile",168398,9408,0.059,0.075
2022,"42017",Bucks,"3rd Quintile",110498,2473,0.023,0.111
2022,"42017",Bucks,"2nd Quintile",66937,-432,-0.006,0.140
2022,"42017",Bucks,"1st Quintile",27386,626,0.023,0.111
2021,"42017",Bucks,Top 5 Percent,595315,67169,0.127,-0.008
2021,"42017",Bucks,All,112712,5734,0.054,0.065
2021,"42017",Bucks,"5th Quintile",353648,37682,0.119,0.000
2021,"42017",Bucks,"4th Quintile",167864,8874,0.056,0.063
2021,"42017",Bucks,"3rd Quintile",112381,4356,0.040,0.079
2021,"42017",Bucks,"2nd Quintile",69165,1796,0.027,0.092
2021,"42017",Bucks,"1st Quintile",26215,-545,-0.020,0.139
2019,"42017",Bucks,Top 5 Percent,602986,74840,0.142,-0.040
2019,"42017",Bucks,All,112106,5128,0.048,0.054
2019,"42017",Bucks,"5th Quintile",348298,32332,0.102,0.000
2019,"42017",Bucks,"4th Quintile",167538,8548,0.054,0.048
2019,"42017",Bucks,"3rd Quintile",112021,3996,0.037,0.065
2019,"42017",Bucks,"2nd Quintile",68314,945,0.014,0.088
2019,"42017",Bucks,"1st Quintile",26268,-492,-0.018,0.120
2018,"42017",Bucks,Top 5 Percent,601646,73500,0.139,-0.037
2018,"42017",Bucks,All,107814,836,0.008,0.094
2018,"42017",Bucks,"5th Quintile",348327,32361,0.102,0.000
2011,"34005",Burlington,Top 5 Percent,472474,58775,0.142,-0.057
2011,"34005",Burlington,All,99249,-4210,-0.041,0.126
2011,"34005",Burlington,"5th Quintile",289141,22723,0.085,0.000
2011,"34005",Burlington,"4th Quintile",150081,2576,0.017,0.068
2011,"34005",Burlington,"3rd Quintile",100084,-2342,-0.023,0.108
2011,"34005",Burlington,"2nd Quintile",62773,-3300,-0.050,0.135
2011,"34005",Burlington,"1st Quintile",27413,-1368,-0.048,0.133
2010,"34005",Burlington,Top 5 Percent,514464,100765,0.244,-0.081
2010,"34005",Burlington,All,104428,969,0.009,0.154
2010,"34005",Burlington,"5th Quintile",309847,43429,0.163,0.000
2010,"34005",Burlington,"4th Quintile",156596,9091,0.062,0.101
2010,"34005",Burlington,"3rd Quintile",104484,2058,0.020,0.143
2010,"34005",Burlington,"2nd Quintile",67276,1203,0.018,0.145
2010,"34005",Burlington,"1st Quintile",29339,558,0.019,0.144
2009,"34005",Burlington,Top 5 Percent,487240,73541,0.178,-0.077
2009,"34005",Burlington,All,106970,3511,0.034,0.067
2009,"34005",Burlington,"5th Quintile",293247,26829,0.101,0.000
2009,"34005",Burlington,"4th Quintile",152115,4610,0.031,0.070
2009,"34005",Burlington,"3rd Quintile",106373,3947,0.039,0.062
2009,"34005",Burlington,"2nd Quintile",69013,2940,0.044,0.057
2009,"34005",Burlington,"1st Quintile",28217,-564,-0.020,0.121
2008,"34005",Burlington,Top 5 Percent,480963,67264,0.163,-0.060
2008,"34005",Burlington,All,110219,6760,0.065,0.038
2008,"34005",Burlington,"5th Quintile",293930,27512,0.103,0.000
2008,"34005",Burlington,"4th Quintile",157365,9860,0.067,0.036
2008,"34005",Burlington,"3rd Quintile",110246,7820,0.076,0.027
2008,"34005",Burlington,"2nd Quintile",69465,3392,0.051,0.052
2008,"34005",Burlington,"1st Quintile",27711,-1070,-0.037,0.140
2007,"34005",Burlington,Top 5 Percent,492908,79209,0.191,-0.075
2007,"34005",Burlington,All,108692,5233,0.051,0.065
2007,"34005",Burlington,"5th Quintile",297422,31004,0.116,0.000
2007,"34005",Burlington,"4th Quintile",154851,7346,0.050,0.066
