X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8356054.308,4868595.692,4520,2627682W,Bus,26,Westbound,27682,Harbison Av & Van Kirk St,40.018257,-75.063713,Fall 2023,6,0,0,0,0,0
-8367896.921,4861169.319,4521,332807N,Bus,33,Northbound,2807,20th St & Fairmount Av,39.967147,-75.170097,Fall 2023,33,67,24,55,19,55
-8359337.677,4871033.469,4522,2630387W,Bus,26,Westbound,30387,Langdon St & Sanger St school,40.035026,-75.093208,Fall 2023,73,0,0,0,0,0
-8367760.221,4862007.722,4523,33595N,Bus,33,Northbound,595,20th St & Girard Av - MBFS,39.972919,-75.168869,Fall 2023,116,82,40,47,42,45
-8359087.096,4872778.47,4524,2615868W,Bus,26,Westbound,15868,Levick St & Martins Mill Rd,40.047027,-75.090957,Fall 2023,5,11,1,1,1,3
-8367954.696,4860841.937,4525,332811N,Bus,33,Northbound,2811,20th St & Green St,39.964893,-75.170616,Fall 2023,24,58,5,30,11,23
-8358777.072,4872553.803,4526,2615867W,Bus,26,Westbound,15867,Levick St & Oxford Av,40.045482,-75.088172,Fall 2023,48,6,13,5,12,4
-8368020.04,4860446.885,4527,332812N,Bus,33,Northbound,2812,20th St & Hamilton St,39.962173,-75.171203,Fall 2023,64,108,39,60,26,51
-8358647.162,4872461.756,4528,2615866W,Bus,26,Westbound,15866,Levick St & Oxford Av - MBNS,40.044849,-75.087005,Fall 2023,50,33,19,16,13,7
-8367828.905,4861597.082,4529,332828N,Bus,33,Northbound,2828,20th St & Parrish St,39.970092,-75.169486,Fall 2023,9,66,6,40,0,28
-8357300.196,4872036.287,4530,2615860W,Bus,26,Westbound,15860,Magee Av & Castor Av,40.041923,-75.074905,Fall 2023,89,21,42,6,35,2
-8367798.403,4861774.438,4531,332834N,Bus,33,Northbound,2834,20th St & Poplar St,39.971313,-75.169212,Fall 2023,8,71,4,48,1,32
-8356681.928,4871580.884,4532,2615857W,Bus,26,Westbound,15857,Magee Av & Eastwood St,40.038791,-75.069351,Fall 2023,7,1,3,1,0,1
-8368144.941,4859745.561,4533,332836N,Bus,33,Northbound,2836,20th St & Race St,39.957344,-75.172325,Fall 2023,65,48,31,35,15,33
-8357695.937,4872319.252,4534,2615861W,Bus,26,Westbound,15861,Magee Av & Frontenac St,40.043869,-75.07846,Fall 2023,30,11,13,2,10,3
-8367986.978,4860638.599,4535,3314920N,Bus,33,Northbound,14920,20th St & Spring Garden St,39.963493,-75.170906,Fall 2023,78,87,32,48,28,41
-8356881.523,4871726.721,4536,2615858W,Bus,26,Westbound,15858,Magee Av & Horrocks St,40.039794,-75.071144,Fall 2023,27,4,5,1,3,2
-8367915.623,4861044.116,4537,3314921N,Bus,33,Northbound,14921,20th St & Wallace St,39.966285,-75.170265,Fall 2023,30,70,17,32,9,24
-8357080.229,4871871.543,4538,2615859W,Bus,26,Westbound,15859,Magee Av & Large St,40.04079,-75.072929,Fall 2023,36,9,14,3,9,0
-8368077.815,4860119.962,4539,3314917N,Bus,33,Northbound,14917,20th St & Wood St,39.959922,-75.171722,Fall 2023,35,69,18,21,19,16
-8357471.739,4872158.866,4540,2627685W,Bus,26,Westbound,27685,Magee Av & Loretto Av,40.042766,-75.076446,Fall 2023,32,9,11,2,11,2
